| new NoSuchElementException(...)                      | NoSuchElementException()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/LinkedBlockingDeque.java:1097:19:1097:46               |    0 |      |
| new NoSuchElementException(...)                      | NoSuchElementException()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/LinkedBlockingDeque.java:1134:19:1134:46               |    0 |      |
| new NoOpCallStack(...)                               | NoOpCallStack()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/NoOpCallStack.java:30:46:30:64                         |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/NoOpCallStack.java:33:13:33:25                         |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/PoolImplUtils.java:35:7:35:19                          |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/PooledSoftReference.java:82:38:82:56                   |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/SecurityManagerCallStack.java:34:14:34:37              |    0 |      |
| super(...)                                           | SecurityManager()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/SecurityManagerCallStack.java:37:26:37:47              |    0 |      |
| ...::...                                             | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/SecurityManagerCallStack.java:46:54:46:71              |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/SecurityManagerCallStack.java:61:17:61:24              |    0 |      |
| super(...)                                           | Throwable()                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/ThrowableCallStack.java:34:26:34:33                    |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/ThrowableCallStack.java:51:12:51:29                    |    0 |      |
| new Snapshot(...)                                    | Snapshot()                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/ThrowableCallStack.java:63:20:63:33                    |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/BaseProxyHandler.java:41:5:41:20                      |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/BaseProxyHandler.java:89:39:89:57                     |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/CglibProxySource.java:34:12:34:27                     |    0 |      |
